题型	题干	选项	答案
单选题	30.中国特色社会主义最本质的特征，是_______。	马克思主义科学理论指导;;中国共产党领导;;以人民为中心的发展思想;;坚持深化改革开放	B
单选题	31.中国特色社会主义制度的最大优势，是______。	马克思主义科学理论指导;;坚持改革开放;;中国共产党领导;;坚持全面从严治党	C
单选题	32.我们经过接连奋斗，打赢了人类历史上规模最大的脱贫攻坚战，历史性地解决了__________问题。	相对贫困;;隐性贫困;;绝对贫困;;经济贫困	C
单选题	33.我们深入推进全面从严治党，提出和落实新时代党的建设总要求，以党的_____统领党的建设各项工作。	思想建设;;制度建设;;政治建设;;组织建设	C
单选题	34.经过不懈努力，党找到了______这一跳出治乱兴衰历史周期率的第二个答案。	人民监督;;自我革命;;社会改革;;阶级斗争	B
单选题	35.实践告诉我们，中国共产党为什么能，中国特色社会主义为什么好，归根到底是马克思主义行，是______的马克思主义行。	中国化;;时代化;;中国化时代化;;中国化实践化	C
单选题	36._______是我们立党立国、兴党兴国的根本指导思想。	马克思主义;;毛泽东思想;;邓小平理论;;习近平新时代中国特色社会主义思想	A
单选题	37.坚持和发展马克思主义，必须不断回答中国之问、_______、人民之问、时代之问。 	民族之问;;现代之问;;世界之问;;发展之问	C
单选题	38.必须坚持发扬_______。增强全党全国各族人民的志气、骨气、底气。	大无畏精神;;奋斗精神;;斗争精神;;进取精神	C
单选题	39.新时代新征程中国共产党的中心任务就是团结带领全国各族人民全面建成_______、实现第二个百年奋斗目标，以中国式现代化全面推进中华民族伟大复兴。	小康社会;;社会主义强国;;社会主义现代化强国;;中国特色社会	C
单选题	40.______是社会主义民主政治的本质属性，是最广泛、最真实、最管用的民主。	直接民主;;全过程人民民主;;代议民主;;选举民主	B
单选题	41.党的二十大报告指出，必须持之以恒推进全面从严治党，深入推进新时代党的建设新的伟大工程，以党________引领社会革命。	组织建设;;政治领导;;自我革命;;全面领导	C
单选题	42.必须坚持制度治党、依规治党，以_______为根本，以民主集中制为核心，完善党内法规制度体系。	宪法;;法律法规;;党内法规;;党章	D
单选题	43.实现中华民族伟大复兴的中国梦，必须紧密围绕党的基本路线，坚持和加强党的________领导。   	全面;;政治;;经济;;组织	A
单选题	44.党的二十大把推进________常态化制度化写入了党章。	群众路线教育实践活动;;“三严三实”专题教育;;党史学习教育;;“不忘初心、牢记使命”主题教育	C
单选题	45.坚持走中国人权发展道路，推动人权事业_______。	自由发展;;公平发展;;全面发展;;个性发展	C
单选题	46.坚持四个自信是哪四个自信_______。	道路自信、理论自信、制度自信、文化自信;;道路自信、文化自信、体制自信、思想自信;;道路自信、制度自信、文化自信、思想自信;;理论自信、体制自信、制度自信、思想自信	A
单选题	47.我们要巩固和发展最广泛的爱国统一战线，完善大统战工作格局，坚持大团结大联合，动员全体中华儿女围绕实现_______一起来想、一起来干。	社会主义;;中国特色社会主义新胜利;;共产主义;;中华民族伟大复兴中国梦	D
单选题	48.实践没有止境，________也没有止境。	理论研究;;理论创造;;理论学习;;理论创新	D
单选题	49.我们全面准确推进“一国两制”实践，坚持“一国两制”、“港人治港”、“澳人治澳”、高度自治的方针，推动香港进入由乱到治走向________的新阶段。	全面发展;;由治及兴;;高度自治;;由治及强	B
单选题	50.广大青年要坚定不移听党话、跟党走，怀抱梦想又脚踏实地，敢想敢为又善作善成，立志做有_____、敢_____、能_____、肯_____的新时代好青年，让青春在全面建设社会主义现代化国家的火热实践中绽放绚丽之花。	理想、担当、吃苦、奋斗;;理想、担当、奋斗、奉献;;理想、作为、奋斗、担当;;理想、吃苦、担当、上进	A
单选题	51.全面建设社会主义_______，是一项伟大而艰巨的事业，前途光明，任重道远。	国家;;现代化强国;;现代化国家;;现代化	C
单选题	52.中国共产党第二十次全国代表大会，是在全党全国各族人民迈上全面建设社会主义现代化国家新征程、向第二个百年奋斗目标进军的______召开的一次十分重要的大会。	重要时刻;;关键阶段;;关键时刻;;重要阶段	C
单选题	53.“四个服从”的原则是党的民主集中制基本内容之一，其中最重要的是_______。	个人服从党的组织;;下级组织服从上级组织;;少数服从多数;;全党各个组织和全体党员服从党的全国代表大会和中央委员会	D
单选题	54.中国共产党的民主集中制是_______。	民主基础上的集中和集中指导下的民主相结合;;加强组织纪律性与保障党员的民主权利;;集体领导和民主评议相结合的制度;;集体领导和民主选举相结合的制度	A
单选题	55.坚持依法治国、依法执政、依法行政共同推进，坚持法治_____、法治_____、法治_____一体建设。	国家、建军、政府;;政府、教育、社会;;管理、社会、国家;;国家、政府、社会	D
单选题	56.前进道路上，必须牢牢把握以下重大原则：坚持和加强党的_____，坚持中国特色社会主义道路，坚持以人民为中心的发展思想，坚持_____，坚持发扬斗争精神。	建设、深化改革发展;;全面领导、依法治国;;全面领导、深化改革开放;;建设、依法治国	C
单选题	57.我们实行更加积极主动的开放战略，共建“一带一路”成为深受欢迎的国际公共产品和国际合作平台，我国成为_______国家和地区的主要贸易伙伴。	一百四十多个;;一百五十多个;;一百六十多个;;一百二十多个	A
单选题	58.我们经过接续奋斗，实现了________这个中华民族的千年梦想。	小康;;富强;;复兴;;和谐	A
单选题	59.中国共产党第二十次全国代表大会，是在全党全国各族人民迈上全面建设社会主义现代化国家新征程、向______奋斗目标进军的关键时刻召开的一次十分重要的大会。	第一个百年;;第二个百年;;第三个百年;;第四个百年	B
单选题	60.我们隆重庆祝中国共产党成立一百周年、中华人民共和国成立七十周年，制定_______历史决议，在全党开展党史学习教育。	第二个;;第三个;;第四个;;第五个	B
单选题	61.面对突如其来的新冠肺炎疫情，我们坚持人民至上、_______，坚持动态清零不动摇，开展抗击疫情人民战争、总体战、阻击战，最大限度保护了人民生命安全和身体健康，统筹疫情防控和经济社会发展取得重大积极成果。	财产至上;;经济至上;;生命至上;;安全至上	C
单选题	62.十年来，我们经历了对党和人民事业具有重大现实意义和深远历史意义的三件大事：一是迎来中国共产党成立一百周年，二是中国特色社会主义进入_____，三是完成脱贫攻坚、全面建成小康社会的历史任务，实现第一个百年奋斗目标。	新进程;;新发展;;新阶段;;新时代	D
单选题	63.我们创立了新时代中国特色社会主义思想，明确坚持和发展中国特色社会主义的基本方略，提出一系列治国理政新理念新思想新战略，实现了马克思主义中国化时代化_______。	现实化;;历史化;;新的发展;;新的飞跃	D
单选题	64.我们经过接续奋斗，实现了小康这个中华民族的千年梦想，打赢了人类历史上规模最大的脱贫攻坚战，全国八百三十二个贫困县全部摘帽，近_______农村贫困人口实现脱贫，九百六十多万贫困人口实现易地搬迁。	三百万;;三千万;;五千万;;一亿	D
单选题	65.国内生产总值从五十四万亿元增长到一百一十四万亿元，我国经济总量占世界经济的比重达百分之十八点五，提高七点二个百分点，稳居世界_______。	第一位;;第二位;;第三位;;第四位	B
单选题	66.坚持走中国特色社会主义政治发展道路，全面发展_______，社会主义民主政治制度化、规范化、程序化全面推进。	民主;;人民民主;;全过程人民民主;;社会主义民主	C
单选题	67.人民群众获得感、幸福感、安全感更加充实、更有保障、更可持续，_______取得新成效。	社会主义道路;;马克思列宁主义;;共同富裕;;小康社会	C
单选题	68.贯彻________，以坚定的意志品质维护国家主权、安全、发展利益，国家安全得到全面加强。	总体国家安全观;;整体国家安全观;;社会主义国家安全观;;新时代国家安全观	A
单选题	69.共建共治共享的社会治理制度进一步健全，扫黑除恶专项斗争取得阶段性成果，有力应对一系列重大自然灾害，________建设迈向更高水平。	平安社会;;平安中国;;安全社会;;安全中国	B
单选题	70.全面推进中国特色大国外交，推动构建人类命运共同体，坚定维护国际公平正义，毫不动摇反对任何单边主义、保护主义、________。	本位主义;;自由主义;;分散主义;;霸凌行径	D
单选题	71.一切从实际出发，着眼解决新时代改革开放和社会主义现代化建设的实际问题，不断回答中国之问、世界之问、________、时代之问，作出符合中国实际和时代要求的正确回答，得出符合客观规律的科学认识，形成与时俱进的理论成果，更好指导中国实践。	社会之问;;人民之问;;实际之问;;群众之问	B
单选题	72.新时代十年的伟大变革，在党史、新中国史、改革开放史、________、中华民族发展史上具有里程碑意义。	社会主义发展史;;马克思主义发展史;;自我革命发展史;;从严治党史	A
单选题	73.从现在起，中国共产党的中心任务就是团结带领全国各族人民全面建成社会主义现代化强国、实现第二个百年奋斗目标，以________全面推进中华民族伟大复兴。	新高度新姿态;;新奋斗新伟业;;中国式现代化;;党的伟大奋斗	C
单选题	74.拥有马克思主义科学理论指导是我们党坚定信仰信念、把握历史主动的________。	根本所在;;内核动力;;驱动力量;;前进方向	A
单选题	75.坚持以________的发展思想。不断实现发展为了人民、发展依靠人民、发展成果由人民共享，让现代化建设成果更多更公平惠及全体人民。	人民为本;;人民为中心;;社会主义民主;;人民为核心	B
单选题	76.________是全面建设社会主义现代化国家的首要任务。	新时代建设;;高质量发展;;新时代新进程;;提升人民幸福感	B
单选题	77.没有坚实的________基础，就不可能全面建成社会主义现代化强国。	科学技术;;物质技术;;人民;;经济	B
单选题	78.坚持把发展经济的着力点放在_______，推进新型工业化，加快建设制造强国、质量强国、航天强国、交通强国、网络强国、数字中国。	经济振兴;;虚拟经济;;实体经济;;经济发展	C
单选题	79.深入实施________战略、区域重大战略、主体功能区战略、新型城镇化战略，优化重大生产力布局，构建优势互补、高质量发展的区域经济布局和国土空间体系。	区域规划;;区域规划发展;;优化协调;;区域协调发展	D
单选题	80.教育、科技、人才是全面建设社会主义现代化国家的________、________支撑。	先导性、技术性;;基础性、发展性;;先导性、战略性;;基础性、战略性	D
单选题	81.要坚持教育优先发展、科技自立自强、人才引领驱动，加快建设________、科技强国、人才强国，坚持为党育人、为国育才，全面提高人才自主培养质量，着力造就拔尖创新人才，聚天下英才而用之。	技术强国;;科学强国;;教育强国;;学习强国	C
单选题	82.推进_______，建设全民终身学习的学习型社会、学习型大国。	科学技术化;;教育科学化;;学习常态化;;教育数字化	D
单选题	83.坚持________在我国现代化建设全局中的核心地位。	科技;;教育;;创新;;人民	C
单选题	84._______ 是社会主义民主政治的本质属性，是最广泛、最真实、最管用的民主。	人民民主法治;;B全过程人民民主;;人民民主自治;;全过程人民法治	B
单选题	85.必须坚定不移走中国特色社会主义政治发展道路，坚持________、人民当家作主、依法治国有机统一。	党的领导;;社会主义道路;;以人为本;;创新发展	A
单选题	86.坚持和完善中国共产党领导的多党合作和政治协商制度，完善________和委员联系界别群众制度机制。	人民监督;;民主法治监督;;人民政协民主监督;;人民政协法制监督	C
单选题	87._______是国家治理的一场深刻革命，关系党执政兴国，关系人民幸福安康，关系党和国家长治久安。	坚持依法治国;;全面依法治国;;全面深化改革;;全面法制改革	B
单选题	88.坚持法治国家、法治政府、________一体建设，全面推进科学立法、严格执法、公正司法、全民守法，全面推进国家各方面工作法治化。	依法治国;;人治社会;;从严治国;;法治社会	D
单选题	89.弘扬社会主义法治精神，传承中华优秀传统法律文化，引导全体人民做社会主义法治的忠实崇尚者、自觉遵守者、________。	责任承担者;;坚定捍卫者;;依法执行者;;制度履行者	B
单选题	90.全面建设社会主义现代化国家，必须坚持中国特色社会主义文化发展道路，增强文化自信，围绕_______、聚民心、育新人、兴文化、展形象建设社会主义文化强国。	促统一;;保民主;;守法治;;举旗帜	D
单选题	91.我们要坚持________在意识形态领域指导地位的根本制度。	毛泽东思想;;邓小平理论;;“三个代表”重要思想;;马克思主义	D
单选题	92.牢牢掌握党对意识形态工作________，全面落实意识形态工作责任制，巩固壮大奋进新时代的主流思想舆论。	领导权;;责任权;;主导权;;指导权	A
单选题	93.弘扬以伟大建党精神为源头的中国共产党人精神谱系，用好红色资源，深入开展社会主义核心价值观宣传教育，深化________、集体主义、社会主义教育，着力培养担当民族复兴大任的时代新人。	民主主义;;共产主义;;爱国主义;;人民主义	C
单选题	94.坚守中华文化立场，提炼展示中华文明的精神标识和文化精髓，加快构建中国话语和中国叙事体系，讲好中国故事、传播好中国声音，展现________的中国形象。	敬老、爱幼、爱国;;可信、可爱、可敬;;诚实、可信、律己;;修身、齐家、治国	B
单选题	95.__________是立党为公、执政为民的本质要求。	为人民谋幸福;;为民族谋复兴;;为民造福;;为民解忧	C
单选题	96.必须坚持在发展中保障和改善民生，鼓励________创造美好生活，不断实现人民对美好生活的向往。	共同富裕;;共同进步;;共同奋斗;;共同努力	C
单选题	97.我们要实现好、维护好、发展好最广大人民根本利益，紧紧抓住人民最关心最直接最现实的利益问题，坚持尽力而为、量力而行，________、深入基层。	深入群众;;联系群众;;深入民心;;广泛听取群众意见	A
单选题	98.坚持多劳多得，鼓励勤劳致富，促进________，增加低收入者收入，扩大中等收入群体。	共同富裕;;全面小康;;机会公平;;公平公正	C
单选题	99.健全覆盖全民、统筹城乡、公平统一、安全规范、可持续的多层次________体系。	社会保障;;社会共享;;社会治理;;基层保障	A
单选题	100.坚持党对人民军队的________，坚持政治建军、改革强军、科技强军、人才强军、依法治军。	全面统筹;;绝对领导;;绝对统筹;;全面领导	B
单选题	101.加快军事理论现代化、军队组织形态现代化、军事人员现代化、武器装备现代化，提高捍卫________、安全、发展利益战略能力，有效履行新时代人民军队使命任务。	尊严;;国家领土;;国家主权;;自由	C
单选题	102.解决台湾问题、实现祖国完全统一，是党矢志不渝的历史任务，是全体中华儿女的共同愿望，是实现中华民族伟大复兴的________。	必由之路;;根本要求;;必然要求;;必经之路	C
单选题	103.中国坚持在_____基础上同各国发展友好合作，推动构建新型国际关系，深化拓展平等、开放、合作的全球伙伴关系，致力于扩大同各国利益的汇合点。	四项基本原则。;;改革开放;;对外开放;;和平共处五项原则	D
单选题	104.促进大国协调和良性互动，推动构建和平共处、总体稳定、均衡发展的________。	世界格局;;经济全球化格局;;大国关系格局;;人类命运共同体	C
单选题	105.全党必须牢记，全面从严治党永远在路上，________永远在路上。	马党的思想建设;;党的自我革命;;党的自我革新;;党的组织建设	B
单选题	106.健全总揽全局、协调各方的党的领导制度体系，完善党中央重大决策部署落实机制，确保全党在政治立场、________、政治原则、政治道路上同党中央保持高度一致，确保党的团结统一。	政治建设;;政治基准;;政治方向;;政治路线	C
单选题	107.完善党的自我革命制度规范体系。坚持制度治党、依规治党，健全党统一领导、________、权威高效的监督体系。	民主法治;;合理有效;;人民至上;;全面覆盖	D
单选题	108.锲而不舍落实中央八项规定精神，持续深化纠治“四风”，重点纠治________、官僚主义，坚决破除特权思想和特权行为。	冒险主义;;虚无主义;;形式主义;;唯心主义	C
单选题	109.________是坚持和发展中国特色社会主义的必由之路。	马克思主义;;科学发展观;;三个代表重要思想;;坚持党的全面领导	D
单选题	110.__________是实现中华民族伟大复兴的必由之路。	中国特色社会主义;;坚持党的全面领导;;团结奋斗;;对外开放	A
单选题	111.__________是中国人民创造历史伟业的必由之路。	坚持共产党的领导;;团结奋斗;;从严治党;;人民当家作主	B
单选题	112.________ 是新时代我国发展壮大的必由之路。	坚持对外开放;;贯彻新发展理念;;改革开放;;坚持以人为本	B
单选题	113.________是党永葆生机活力、走好新的赶考之路的必由之路。	全面深化改革;;全面依法治国;;全面从严治党;;全面建设社会主义现代化国家	C
单选题	114.全党要把________作为战略性工作来抓，用党的科学理论武装青年，用党的初心使命感召青年，做青年朋友的知心人、青年工作的热心人、青年群众的引路人。	干部工作;;青年工作;;青年干部;;队伍工作	B
单选题	115.改革开放和社会主义现代化建设深入推进，书写了经济快速发展和_______两大奇迹篇章。	社会相对稳定;;人民安居乐业;;社会长期稳定;;构建新发展格局	C
单选题	116.腐败是危害党的生命力和战斗力的最大毒瘤，反腐败是最彻底的________。	党内治理;;自我革命;;党内监督;;作风革命	B
单选题	117.党的二十大报告指出，要持续深化纠治“四风”，重点纠治_______、官僚主义，坚决破除特权思想和特权行为。	形式主义;;享乐主义;;奢靡之风;;特权主义	A
单选题	118._______是党的优势所在，力量所在。	严明的纪律体系;;庞大的组织体系;;健全的制度体系;;严密的组织体系	D
单选题	119.党的二十大报告指出，要坚持和加强党中央集中统一领导，坚持不懈用新时代中国特色社会主义思想凝心铸魂，完善_______，建设堪当民族复兴重任的高素质干部队伍。	党的自我革命制度规范体系;;党的自我完善制度规范体系;;党的自我提高制度规范体系;;党的自我净化自读规范体系	A
单选题	120.坚持政治建军、改革强军、科技强军、______、依法治军，建设一支听党指挥、能打胜仗、作风优良的人民军队，把人民军队建设成为________军队。	人才强军、世界一流;;从严治军、世界先进;;战略强军、世界先进;;纪律强军、世界一流	A
单选题	121.加快构建以国内_____为主体、国内国际______相互促进的新发展格局，推动高质量发展。	单循环、双循环;;小循环、大循环;;单循环、大循环;;大循环、双循环	D
单选题	122.坚持依规治党、标本廉治，不断健全________，坚持把纪律挺在前面。	党内法规体系;;司法监督体系;;组织纪律体系;;监督执法体系	A
单选题	123.学习党的基本知识和________，增强“四个意识”、坚定“四个自信”、做到“两个维护”，是广大党员应尽的义务。	党的思想路线;;党的政策文件;;党的历史;;党的理论文献	C
单选题	124.党的各级领导干部要反对_____和______，反对任何滥用职权、谋求私利的行为。	利益集团、权势集团;;利益代表、特权阶层;;特权精英、权势团体;;特权思想、特权现象	D
单选题	125.全党同志要坚持发扬斗争精神，增强_______，贯彻党的基本理论、基本路线、基本方略。	斗争意识;;斗争本领;;斗争品格;;斗争态度	B
单选题	126.我国的社会主义建设，必须从我国的国情出发，走中国特色社会主义道路，以__________全面推进中华民族伟大复兴。	中国式现代化;;新发展格局;;新发展理念;;党的建设伟大工程	A
单选题	127.坚持总体国家安全观，统筹____和____，坚决维护国家主权、安全、发展利益。	效率、自由;;效率、安全;;发展、安全;;发展、自由	C
单选题	128.我们党要始终赢得人民拥护、巩固长期执政地位，必须时刻保持解决_____的清醒和坚定。	经济发展难题;;政治建设难题;;大党独有难题;;民生保障难题	C
单选题	129.“________”方针是实现两岸统一的最佳方式，对两岸同胞和中华民族最有利。	和平共处五项原则;;和平统一、一国两制;;十六字;;党要管党、从严治党	B
单选题	130.立足我国能源资源禀赋，坚持先立后破，有计划分步骤实施________。	能源革命;;“APEC蓝”不褪色行动;;永保绿水青山行动;;碳达峰行动	D
填空题	1.建强人民军队党的组织体系，推进________，持之以恒正风肃纪反腐。		政治整训常态化制度化
填空题	2.习主席指出________是危害党的生命力和战斗力的最大毒瘤，反腐败是最彻底的________。		腐败;;自我革命
填空题	3.新时代十年的伟大变革，在________上具有里程碑意义。		党史、新中国史、改革开放史、社会主义发展史、中华民族发展史
填空题	4.锲而不舍落实中央八项规定精神，持续深化纠治“四风”，重点纠治________，坚决破除________和________。		形式主义、官僚主义;;特权思想;;特权行为
填空题	5.二十大报告指出，从现在起，中国共产党的中心任务就是________		团结带领全国各族人民全面建成社会主义现代化强国，实现第二个百年奋斗目标，以中国式现代化全面推进中华民族伟大复兴。
填空题	6.中国共产党第二十次全国代表大会，是在全党全国各族人民迈上全面建设社会主义现代化国家新征程、向________进军的关键时刻召开的一次十分重要的大会。		第二个百年奋斗目标
填空题	7.党的二十大的主题是：高举中国特色社会主义伟大旗帜，全面贯彻新时代中国特色社会主义思想，弘扬伟大建党精神，________，为全面建设社会主义现代化国家、全面推进中华民族伟大复兴而团结奋斗。		自信自强、守正创新，踔厉奋发、勇毅前行
填空题	8.面对突如其来的新冠肺炎疫情，我们坚持________，坚持动态清零不动摇，开展抗击疫情人民战争、总体战、阻击战，最大限度保护了人民生命安全和身体健康，统筹疫情防控和经济社会发展取得重大积极成果。		人民至上、生命至上
填空题	9.我们创立了新时代中国特色社会主义思想，明确坚持和发展中国特色社会主义的基本方略，提出一系列治国理政新理念新思想新战略，实现了________。		马克思主义中国化时代化新的飞跃
填空题	10.我们经过持续奋斗，实现了小康这个中华民族的千年梦想，打赢了人类历史上规模最大的脱贫攻坚战，全国________贫困县全部摘帽，近________农村贫困人口实现脱贫，________贫困人口实现易地搬迁。		八百三十二个;;一亿;;九百六十多万
填空题	11.坚持走中国特色社会主义政治发展道路，全面发展________，社会主义民主政治制度化、规范化、程序化全面推进。		全过程人民民主
填空题	12.人民群众________更加充实、更有保障、更可持续，________取得新成效。		获得感、幸福感、安全感;;共同富裕
填空题	13.坚持绿________的理念，坚持山水林田湖草沙一体化保护和系统治理，全方位、全地域、全过程加强生态环境保护，生态环境保护发生历史性、转折性、全局性变化，我们的祖国天更蓝、山更绿、水更清。		水青山就是金山银山
填空题	14.贯彻________，以坚定的意志品质维护国家主权、安全、发展利益，国家安全得到全面加强。		总体国家安全观
填空题	15.共建共治共享的社会治理制度进一步健全，扫黑除恶专项斗争取得阶段性成果，有力应对一系列重大自然灾害，________建设迈向更高水平。		平安中国
填空题	16.全面准确推进“一国两制”实践，坚持________的方针。		“一国两制”、“港人治港”、“澳人治澳”、高度自治
填空题	17.全面推进中国特色大国外交，推进构建________，坚定维护国际公平正义，好不动摇反对任何单边主义、保护主义、霸凌行径。		人类命运共同体
填空题	18.开展了史无前例的反腐败斗争，以“得罪千百人，不负十四亿”的使命担当祛疴治乱，________一体推进。		不敢腐、不能腐、不想腐
填空题	19.________多管齐下，反腐败斗争取得压倒性胜利并全面巩固，消除了党、国家、军队内部存在的严重隐患。		“打虎”、“拍蝇”、“猎狐”
填空题	20.经过不懈努力，党找到了________这一跳出治乱兴衰历史周期率的________，确保党永远________。		自我革命;;第二个答案;;不变质、不变色、不变味
填空题	21.新时代的伟大成就是________一道拼出来、干出来、奋斗出来的！		党和人民
填空题	22.拥有________指导是我们党坚定信仰信念、把握历史主动的根本所在。		马克思主义科学理论
填空题	23.一切从实际出发，着眼解决新时代改革开放和社会主义现代化建设的实际问题，不断回答________，作出符合中国实际和时代要求的正确回答，得出符合客观规律的科学认识，形成与时俱进的理论成果，更好指导中国实践。		中国之问、世界之问、人民之问、时代之问
填空题	24.中国式现代化，是________的社会主义现代化，既有各国现代化的共同特征，更有基于自己国情的中国特色。		中国共产党领导
填空题	25.未来________是全面建设社会主义现代化国家开局起步的关键时期。		五年
填空题	26.我国发展进入战略机遇和风险挑战并存、不确定难预料因素增多的时期，各种________事件随时可能发生。		“黑天鹅”、“灰犀牛”
填空题	27.我们必须增强忧患意识，坚持________，做到居安思危、未雨绸缪，准备经受风高浪急甚至惊涛骇浪的重大考验。		底线思维
